,dt,sstlat,tid,clat,clon,psmin,rp,dp,zp,exppr
1614,0007-08-09 00:00:00,13.0,2264514,-7.609006,145.5,,,,,
1615,0007-08-10 00:00:00,13.0,2265003,-5.130295,62.25,,,,,
1616,0007-08-10 00:00:00,13.0,2265005,-10.507382,139.5,,,,,
1617,0007-08-10 00:00:00,13.0,2265006,21.415001,301.707455,999.9672843456001,151435.29411764705,1192.2214532871972,9728.813559322034,1.0755294117647058
1618,0007-08-11 00:00:00,13.0,2265549,23.954922,300.207482,1006.0807707979001,306729.4117647059,1275.7093425605535,7016.949152542373,1.0755294117647058
1619,0007-08-12 00:00:00,13.0,2266081,-9.353107,110.25,,,,,
1620,0007-08-13 00:00:00,13.0,2266588,-7.827771,128.457322,,,,,
1621,0007-08-13 00:00:00,13.0,2266590,17.286427,118.5,1010.1809916142,189741.17647058825,572.484429065744,10915.254237288136,1.0755294117647058
1622,0007-08-13 00:00:00,13.0,2266657,-8.972068,234.0,,,,,
1623,0007-08-15 00:00:00,13.0,2268184,-9.545357,138.0,,,,,
1624,0007-08-16 00:00:00,13.0,2269793,-9.491388,354.0,,,,,
1625,0007-08-17 00:00:00,13.0,2270325,-7.95638,81.542701,,,,,
1626,0007-08-18 00:00:00,13.5,2270783,-7.944286,74.25,,,,,
1627,0007-08-18 00:00:00,13.5,2270785,15.501207,94.292717,1005.3196455515999,293270.5882352941,635.1003460207614,9728.813559322034,1.0755294117647058
1628,0007-08-18 00:00:00,13.5,2270863,16.307459,55.707188,1002.5968969062,229356.40138408306,1254.8373702422145,12101.694915254237,1.0755294117647058
1629,0007-08-18 00:00:00,13.5,2270930,21.330927,125.792894,1007.8886100437,306729.4117647059,955.4048442906574,9220.338983050848,1.4990588235294116
1630,0007-08-18 00:00:00,13.5,2270983,-9.113653,201.0,,,,,
1631,0007-08-19 00:00:00,13.0,2271638,-9.649273,66.542683,,,,,
1632,0007-08-19 00:00:00,13.0,2271640,17.153217,101.04274,1005.0280933334001,86211.76470588235,1317.453287197232,8711.864406779661,1.0755294117647058
1633,0007-08-19 00:00:00,13.0,2271737,18.536788,88.5,1005.1876317572,292204.8442906575,851.0449826989619,9728.813559322034,1.0755294117647058
1634,0007-08-19 00:00:00,13.0,2271844,28.258478,168.957208,1004.4169560459,306729.4117647059,1721.2456747404844,7694.9152542372885,1.0755294117647058
1635,0007-08-20 00:00:00,13.0,2272413,-8.135623,115.5,,,,,
1636,0007-08-21 00:00:00,13.0,2272880,25.940181,84.54267,993.1826323903999,203200.0,2556.9273356401386,7355.932203389831,1.0755294117647058
1637,0007-08-21 00:00:00,13.0,2272940,7.794715,207.75,1011.8939116321001,73270.58823529411,468.1245674740485,16000.0,1.0755294117647058
1638,0007-08-23 00:00:00,13.0,2273904,17.266705,44.25,996.1516221955,170984.0830449827,1853.702422145329,8372.881355932204,1.0755294117647058
1639,0007-08-24 00:00:00,13.0,2274427,-8.403982,118.5,,,,,
1640,0007-08-24 00:00:00,13.0,2274430,-5.935223,98.457296,,,,,
1641,0007-08-25 00:00:00,13.0,2275556,-7.312365,245.25,,,,,
1642,0007-08-26 00:00:00,13.0,2275982,27.228543,36.0,987.2146747435,274513.4948096886,2877.2318339100348,9389.830508474577,1.0755294117647058
1643,0007-08-26 00:00:00,13.0,2276042,-10.367669,260.792697,,,,,
1644,0007-08-28 00:00:00,13.0,2276910,29.806982,107.25,1012.9970925199,228564.70588235295,614.2283737024222,8372.881355932204,1.1225882352941177
1645,0007-08-28 00:00:00,13.0,2276970,-8.422326,174.75,,,,,
1646,0007-08-28 00:00:00,13.0,2276972,-7.779474,165.207284,,,,,
1647,0007-08-29 00:00:00,13.0,2277433,-9.953962,220.292757,,,,,
1648,0007-08-29 00:00:00,13.0,2277436,-8.120678,157.292691,,,,,
1649,0007-08-30 00:00:00,13.5,2277855,8.71865,7.5,1011.9512461661001,73270.58823529411,447.2525951557094,8033.8983050847455,1.0755294117647058
1650,0007-08-30 00:00:00,13.5,2277911,13.084799,304.5,1006.3415245496,86729.41176470589,871.916955017301,7016.949152542373,1.0755294117647058
1651,0007-08-31 00:00:00,12.5,2278389,-3.961098,112.707297,,,,,
1652,0007-09-01 00:00:00,13.0,2278819,21.512258,324.957108,999.989792446,221957.09342560556,1575.1418685121107,6000.0,1.0755294117647058
1653,0007-09-02 00:00:00,13.0,2279332,20.502733,324.20712,1002.6986284134,137976.4705882353,1338.325259515571,6000.0,1.0755294117647058
1654,0007-09-02 00:00:00,13.0,2279395,-10.537478,304.707339,,,,,
1655,0007-09-03 00:00:00,13.0,2347172,18.948149,318.75,1011.1981249168999,190258.82352941178,788.4290657439446,6000.0,1.0755294117647058
1656,0007-09-03 00:00:00,13.0,2347237,-6.404334,151.292694,,,,,
1657,0007-09-03 00:00:00,13.0,2347239,-12.373423,298.707343,,,,,
1658,0007-09-03 00:00:00,13.0,2347241,19.716052,291.0,1010.9065541491999,280847.05882352946,809.3010380622837,7694.9152542372885,1.1244705882352943
