,dt,sstlat,sstval,tid,clat,clon,psamb,dp [hPa],rmw_target,rmw_final,rp
525,0007-07-03 00:00:00,11.5,307.9,3843277,20.332562,169.45892115194835,101888.38067477566,788.4290657439446,,,239648.4429065744
526,0007-07-04 00:00:00,11.5,307.93,3844779,14.851665,162.02451112981035,101736.73907940826,788.4290657439446,,,267388.23529411765
527,0007-07-05 00:00:00,11.5,307.95,3847344,13.495543,226.43500988421647,101638.10382995803,830.1730103806228,,,99152.94117647059
528,0007-07-07 00:00:00,11.5,308.01,3850787,19.95865,284.1956727218327,101679.14643034828,809.3010380622837,,,100736.3321799308
529,0007-07-08 00:00:00,11.5,308.03,3855057,13.627695,72.17544189109245,101689.49862094446,488.9965397923876,,,228564.70588235295
530,0007-07-09 00:00:00,11.5,308.06,3861795,17.998557,96.627637331259,101701.19121575997,934.5328719723184,,,125552.94117647059
531,0007-07-10 00:00:00,11.5,308.07,3863024,22.77793,264.9956849695491,102205.35165527371,1108.7335640138408,,,274513.4948096886
532,0007-07-12 00:00:00,11.5,308.09,3865336,20.625507,313.655379579605,102033.744994822,1533.3979238754325,,,293270.5882352941
533,0007-07-13 00:00:00,11.5,308.09,3866204,14.282297,142.39187754126087,101715.86251330833,767.5570934256054,,,86211.76470588235
534,0007-07-15 00:00:00,12.0,308.0,3868559,16.679006,352.0976692305095,101701.58226360391,1296.5813148788927,,,73270.58823529411
535,0007-07-17 00:00:00,12.5,308.04,3876865,20.634115,3.99517881970025,101933.44071408059,593.3564013840831,,,189741.17647058825
536,0007-07-18 00:00:00,12.5,308.05,3879659,8.093602,68.3473674962995,101647.61337939963,530.7404844290659,,,176800.00000000003
537,0007-07-19 00:00:00,12.5,308.05,3881196,11.641001,242.05370838262442,101894.11874865583,530.7404844290659,,,216141.17647058822
538,0007-07-20 00:00:00,12.5,308.11,3882682,17.40761,214.12908188792773,101850.41363898818,788.4290657439446,,,267388.23529411765
539,0007-07-21 00:00:00,12.5,308.18,3886032,16.924421,124.37567248105583,101862.28094179987,468.1245674740485,,,179175.08650519032
540,0007-07-23 00:00:00,13.0,308.2,3890056,8.924248,108.81347469949495,101693.12009210623,830.1730103806228,,,280847.05882352946
541,0007-07-28 00:00:00,13.0,308.19,3900357,14.53724,10.882083989830614,101751.90740600972,1937.1903114186853,,,254964.70588235295
